date,open,high,low,close,volume,is_anomaly,ticker
2025-07-03,0.0,0.0,0.0,100.0,200000000,True,P03FRR300528
2025-09-09,0.0,0.0,0.0,100.0,37500000,True,P03FRR300528
2025-09-15,100.77,100.77,100.77,100.77,62500000,False,P03FRR300528
2025-11-04,0.0,0.0,0.0,100.77,37500000,True,P03FRR300528
2025-11-20,0.0,0.0,0.0,100.77,425000000,True,P03FRR300528
2025-11-25,0.0,0.0,0.0,100.77,62500000,True,P03FRR300528
2025-12-29,0.0,0.0,0.0,100.77,5000000,True,P03FRR300528
2026-01-02,101.31,101.31,101.31,101.31,200000000,False,P03FRR300528
2026-01-16,0.0,0.0,0.0,101.31,62500000,True,P03FRR300528
2026-01-28,101.87,101.87,101.87,101.87,200000000,False,P03FRR300528
2026-02-09,101.98,101.98,101.98,101.98,150000000,False,P03FRR300528
2026-02-16,101.37,101.37,101.37,101.37,375000000,False,P03FRR300528
2026-03-11,0.0,0.0,0.0,101.37,3000000,True,P03FRR300528
2026-04-01,97.51,97.51,97.51,97.51,1000000,False,P03FRR300528
2026-04-08,99.5,99.5,99.5,99.5,1000000,False,P03FRR300528
2026-04-09,0.0,0.0,0.0,99.5,62500000,True,P03FRR300528
