date,open,high,low,close,volume,is_anomaly,ticker
2025-06-30,16.56,16.56,16.56,16.56,2,False,GEMPACRA
2025-07-01,18.22,18.22,18.22,18.21,2,True,GEMPACRA
2025-07-02,16.39,20.0,16.39,18.8,2299930,False,GEMPACRA
2025-07-03,19.93,20.67,19.25,20.67,292306,False,GEMPACRA
2025-07-04,21.0,22.5,20.65,21.06,153329,False,GEMPACRA
2025-07-07,21.1,22.0,21.0,21.01,115667,False,GEMPACRA
2025-07-08,21.49,22.0,20.65,21.97,97154,False,GEMPACRA
2025-07-09,20.5,22.35,20.5,20.77,66799,False,GEMPACRA
2025-07-10,21.48,22.0,21.01,22.0,83940,False,GEMPACRA
2025-07-11,22.9,23.9,22.9,23.26,155340,False,GEMPACRA
2025-07-14,23.79,24.5,23.25,24.22,127037,False,GEMPACRA
2025-07-15,24.9,26.59,24.9,25.0,219500,False,GEMPACRA
2025-07-16,26.0,26.0,25.0,25.02,5600,False,GEMPACRA
2025-07-17,24.17,25.75,24.17,25.75,505,False,GEMPACRA
2025-07-18,25.01,25.5,25.0,25.01,32134,False,GEMPACRA
2025-07-21,25.85,25.85,25.49,25.49,2100,False,GEMPACRA
2025-07-22,27.9,27.9,25.0,25.5,104687,False,GEMPACRA
2025-07-23,28.0,28.0,25.0,25.49,181682,False,GEMPACRA
2025-07-24,25.02,25.5,25.02,25.5,10074,False,GEMPACRA
2025-07-25,26.9,26.9,26.9,26.9,11000,False,GEMPACRA
2025-07-28,29.0,29.0,28.9,28.9,1001,False,GEMPACRA
2025-07-29,29.0,29.0,26.02,26.1,15598,False,GEMPACRA
2025-07-30,27.0,27.0,27.0,26.1,100,True,GEMPACRA
2025-07-31,26.5,26.5,26.5,26.5,500,False,GEMPACRA
2025-08-01,27.0,27.0,27.0,26.5,100,True,GEMPACRA
2025-08-04,24.7,27.5,24.7,27.5,23336,False,GEMPACRA
2025-08-05,27.5,30.25,27.5,28.0,57712,False,GEMPACRA
2025-08-06,30.0,30.0,28.04,28.75,10517,False,GEMPACRA
2025-08-07,30.74,30.74,25.88,26.12,292671,False,GEMPACRA
2025-08-08,26.05,26.95,26.0,26.66,79701,False,GEMPACRA
2025-08-11,26.5,27.85,26.5,26.65,1101,False,GEMPACRA
2025-08-12,25.02,27.0,25.02,26.5,5100,False,GEMPACRA
2025-08-13,26.0,27.49,26.0,26.0,17105,False,GEMPACRA
2025-08-15,25.53,25.53,25.53,26.0,1,True,GEMPACRA
2025-08-18,26.0,26.0,25.11,26.0,10,False,GEMPACRA
2025-08-20,28.5,28.5,26.0,26.06,3,False,GEMPACRA
2025-08-21,26.1,28.49,26.1,28.09,22888,False,GEMPACRA
2025-08-22,29.0,29.0,26.01,27.51,11984,False,GEMPACRA
2025-08-25,28.0,28.0,28.0,28.0,3000,False,GEMPACRA
2025-08-26,28.0,29.9,27.99,28.0,26526,False,GEMPACRA
2025-09-05,27.0,27.0,26.0,26.0,17500,False,GEMPACRA
2025-09-08,27.0,27.0,27.0,27.0,8596,False,GEMPACRA
2025-09-10,28.0,28.0,28.0,28.0,645,False,GEMPACRA
2025-09-16,26.01,28.0,26.01,28.0,5850,False,GEMPACRA
2025-09-17,27.3,28.0,25.67,27.3,34546,False,GEMPACRA
2025-09-18,26.0,26.0,26.0,27.3,50,True,GEMPACRA
2025-09-19,26.02,29.0,26.02,28.0,102553,False,GEMPACRA
2025-09-22,28.0,28.0,26.01,26.11,10311,False,GEMPACRA
2025-09-23,24.23,24.23,24.23,26.11,508,True,GEMPACRA
2025-09-24,25.0,27.0,24.03,25.99,34251,False,GEMPACRA
2025-09-25,24.3,26.5,24.3,26.42,12178,False,GEMPACRA
2025-09-26,28.0,28.0,28.0,28.0,535,False,GEMPACRA
2025-09-29,28.0,28.0,26.15,27.96,5010,False,GEMPACRA
2025-09-30,27.0,27.11,27.0,27.11,800,False,GEMPACRA
2025-10-01,28.0,28.0,28.0,27.11,400,True,GEMPACRA
2025-10-02,27.0,27.5,27.0,27.01,810,False,GEMPACRA
2025-10-03,25.7,26.5,25.7,27.01,400,True,GEMPACRA
2025-10-06,27.0,27.0,25.51,27.0,990,False,GEMPACRA
2025-10-07,0.0,0.0,0.0,27.0,5000,True,GEMPACRA
2025-10-08,27.5,27.5,25.25,25.25,17211,False,GEMPACRA
2025-10-10,27.69,27.69,27.69,25.25,1,True,GEMPACRA
2025-10-13,25.0,25.0,23.0,23.0,127000,False,GEMPACRA
2025-10-14,25.3,25.3,25.3,25.3,500,False,GEMPACRA
2025-10-15,25.3,25.3,23.2,24.0,79543,False,GEMPACRA
2025-10-16,25.0,25.0,25.0,25.0,10000,False,GEMPACRA
2025-10-17,25.0,27.5,25.0,25.23,3110,False,GEMPACRA
2025-10-20,27.7,27.7,27.2,25.23,200,True,GEMPACRA
